"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2016","208.96","215.05","216.37","207.79","6.81M","-2.77%"
"Jul 20, 2016","214.92","218.03","218.03","211.51","7.20M","-1.76%"
"Jul 19, 2016","218.76","223.40","223.40","216.36","7.36M","-2.64%"
"Jul 18, 2016","224.69","224.29","224.71","221.75","4.97M","0.08%"
"Jul 15, 2016","224.51","224.09","225.20","223.23","4.78M","0.13%"
"Jul 14, 2016","224.21","222.37","224.94","221.05","5.85M","0.95%"
"Jul 13, 2016","222.09","221.96","223.24","218.67","6.76M","0.18%"
"Jul 12, 2016","221.70","217.38","222.25","217.38","8.31M","2.86%"
"Jul 11, 2016","215.53","210.89","215.75","210.89","6.30M","2.32%"
"Jul 08, 2016","210.64","203.99","211.13","203.99","6.92M","3.39%"
"Jul 07, 2016","203.73","202.25","205.55","201.80","5.63M","0.78%"
"Jul 06, 2016","202.16","196.18","202.36","196.18","7.46M","2.97%"
"Jul 05, 2016","196.32","200.63","200.63","194.84","6.84M","-1.94%"
"Jul 01, 2016","200.21","196.48","202.14","196.48","8.54M","1.88%"
"Jun 30, 2016","196.51","188.91","196.52","188.91","8.35M","4.28%"
"Jun 29, 2016","188.44","187.49","190.22","187.49","6.01M","1.14%"
"Jun 28, 2016","186.32","183.74","186.60","183.41","7.11M","1.91%"
"Jun 27, 2016","182.83","189.20","189.20","181.97","6.38M","-3.37%"
"Jun 24, 2016","189.20","201.63","201.63","188.51","16.36M","-6.16%"
"Jun 23, 2016","201.63","197.36","201.64","197.36","7.55M","2.16%"
"Jun 22, 2016","197.36","199.13","200.91","196.53","6.40M","-0.86%"
"Jun 21, 2016","199.08","204.49","204.49","197.50","7.13M","-2.65%"
"Jun 20, 2016","204.50","200.02","205.70","200.02","5.83M","2.32%"
"Jun 17, 2016","199.86","201.16","203.79","199.47","11.54M","-0.61%"
"Jun 16, 2016","201.09","200.14","201.22","196.65","5.83M","0.43%"
"Jun 15, 2016","200.23","196.45","201.53","196.45","7.23M","2.05%"
"Jun 14, 2016","196.21","198.30","199.72","194.91","5.96M","-1.18%"
"Jun 13, 2016","198.56","201.01","201.81","198.45","6.03M","-1.08%"
"Jun 10, 2016","200.72","201.01","202.34","198.94","6.74M","-0.43%"
"Jun 09, 2016","201.58","205.06","205.06","199.63","6.53M","-2.03%"
"Jun 08, 2016","205.76","200.44","207.09","200.44","9.90M","3.26%"
"Jun 07, 2016","199.26","199.26","199.26","199.26","5.60M","0.16%"
"Jun 06, 2016","198.94","196.17","199.14","196.17","5.88M","1.46%"
"Jun 03, 2016","196.08","193.43","196.24","192.97","6.90M","1.56%"
"Jun 02, 2016","193.06","191.29","193.08","189.54","6.00M","0.88%"
"Jun 01, 2016","191.37","190.67","191.78","187.75","5.56M","0.26%"
"May 31, 2016","190.87","190.17","193.38","189.64","6.88M","0.41%"
"May 27, 2016","190.10","191.41","191.81","187.32","5.97M","-0.69%"
"May 26, 2016","191.43","190.76","195.14","190.33","7.89M","0.74%"
"May 25, 2016","190.03","185.95","190.34","185.95","6.93M","2.21%"
"May 24, 2016","185.93","184.88","187.43","184.41","6.70M","0.59%"
"May 23, 2016","184.84","182.08","185.90","180.80","7.35M","1.48%"
"May 20, 2016","182.15","182.66","184.24","181.41","7.11M","-0.12%"
"May 19, 2016","182.37","179.70","183.12","177.41","8.83M","1.49%"
"May 18, 2016","179.70","185.36","185.78","178.86","7.88M","-3.10%"
"May 17, 2016","185.45","189.24","189.33","184.53","8.46M","-2.00%"
"May 16, 2016","189.24","187.07","192.63","187.07","8.11M","1.32%"
"May 13, 2016","186.77","187.62","189.33","185.34","7.20M","-0.51%"
"May 12, 2016","187.73","190.44","192.12","186.92","8.16M","-1.38%"
"May 11, 2016","190.36","191.10","193.49","189.21","5.96M","-0.37%"
"May 10, 2016","191.07","185.81","191.13","185.81","7.37M","2.89%"
"May 09, 2016","185.70","196.45","196.45","185.15","9.35M","-5.77%"
"May 06, 2016","197.07","195.43","198.11","193.18","6.45M","0.76%"
"May 05, 2016","195.58","196.23","198.86","194.13","6.53M","-0.21%"
"May 04, 2016","195.99","195.96","198.39","193.83","8.12M","-0.15%"
"May 03, 2016","196.28","203.45","203.45","194.06","8.77M","-3.52%"
"May 02, 2016","203.45","200.98","203.92","199.20","7.84M","1.23%"
"Apr 29, 2016","200.98","199.99","202.81","198.10","10.50M","0.64%"
"Apr 28, 2016","199.70","202.26","205.36","199.18","7.36M","-1.25%"
"Apr 27, 2016","202.23","197.67","202.36","194.88","8.64M","1.95%"
"Apr 26, 2016","198.37","196.92","198.71","192.38","8.94M","0.86%"
"Apr 25, 2016","196.68","199.44","199.44","195.26","7.46M","-1.57%"
"Apr 22, 2016","199.82","199.97","203.47","198.95","7.50M","-0.38%"
"Apr 21, 2016","200.58","202.48","203.17","197.89","8.49M","-0.91%"
"Apr 20, 2016","202.42","203.41","204.43","200.73","8.72M","-0.31%"
"Apr 19, 2016","203.05","200.42","205.01","200.42","7.16M","1.35%"
"Apr 18, 2016","200.34","199.01","201.13","197.60","5.33M","0.43%"
"Apr 15, 2016","199.48","197.35","199.53","196.22","6.50M","0.83%"
"Apr 14, 2016","197.84","197.23","198.40","196.01","6.14M","0.33%"
"Apr 13, 2016","197.19","191.32","198.34","191.32","8.40M","3.07%"
"Apr 12, 2016","191.32","189.90","192.00","188.40","6.15M","0.72%"
"Apr 11, 2016","189.95","187.70","192.22","187.70","7.41M","1.29%"
"Apr 08, 2016","187.53","183.50","188.83","183.50","6.19M","2.27%"
"Apr 07, 2016","183.37","186.80","186.80","182.71","6.99M","-1.88%"
"Apr 06, 2016","186.88","185.35","187.29","183.55","6.34M","0.79%"
"Apr 05, 2016","185.41","184.84","187.04","184.38","6.48M","0.08%"
"Apr 04, 2016","185.26","189.70","190.59","185.01","5.77M","-2.38%"
"Apr 01, 2016","189.77","186.69","189.78","185.18","6.62M","1.21%"
"Mar 31, 2016","187.50","190.90","191.08","187.19","5.47M","-1.90%"
"Mar 30, 2016","191.13","189.09","191.90","188.61","6.35M","1.50%"
"Mar 29, 2016","188.31","185.63","188.36","182.42","6.56M","1.39%"
"Mar 28, 2016","185.73","185.15","187.07","182.95","4.88M","0.24%"
"Mar 24, 2016","185.29","182.10","185.31","180.28","6.10M","1.75%"
"Mar 23, 2016","182.10","186.22","187.04","181.67","7.17M","-2.31%"
"Mar 22, 2016","186.40","185.36","187.34","183.42","4.68M","0.33%"
"Mar 21, 2016","185.78","187.03","187.03","182.84","5.85M","-0.69%"
"Mar 18, 2016","187.07","186.77","190.36","185.74","12.10M","0.26%"
"Mar 17, 2016","186.58","181.67","186.94","179.61","7.11M","2.76%"
"Mar 16, 2016","181.56","177.24","182.09","175.64","7.24M","2.34%"
"Mar 15, 2016","177.41","178.22","178.79","174.64","5.66M","-0.64%"
"Mar 14, 2016","178.55","178.63","180.62","175.55","6.14M","-0.32%"
"Mar 11, 2016","179.12","178.76","180.69","175.54","6.72M","0.61%"
"Mar 10, 2016","178.03","171.93","178.09","171.05","7.45M","3.69%"
"Mar 09, 2016","171.69","173.03","174.39","169.80","5.36M","-0.60%"
"Mar 08, 2016","172.73","176.87","177.09","172.19","7.48M","-2.34%"
"Mar 07, 2016","176.87","169.72","176.88","169.67","7.97M","4.37%"
"Mar 04, 2016","169.47","169.74","173.77","167.17","11.42M","-0.04%"
"Mar 03, 2016","169.54","168.60","172.10","168.58","9.80M","0.46%"
"Mar 02, 2016","168.76","160.23","168.93","160.23","9.18M","5.38%"
"Mar 01, 2016","160.14","154.17","160.89","154.17","5.96M","3.87%"
"Feb 29, 2016","154.17","153.33","155.69","151.90","7.09M","0.69%"
"Feb 26, 2016","153.11","152.24","155.00","152.24","4.76M","0.69%"
"Feb 25, 2016","152.06","149.53","152.07","148.72","4.78M","1.68%"
"Feb 24, 2016","149.55","148.22","149.77","144.10","5.07M","0.38%"
"Feb 23, 2016","148.99","152.87","152.87","148.74","4.19M","-2.60%"
"Feb 22, 2016","152.97","150.22","154.20","150.22","4.34M","1.99%"
"Feb 19, 2016","149.98","151.91","151.91","149.00","4.66M","-1.35%"
"Feb 18, 2016","152.04","155.85","156.06","151.33","5.14M","-2.45%"
"Feb 17, 2016","155.86","152.49","157.05","152.49","6.14M","2.28%"
"Feb 16, 2016","152.38","151.10","153.52","149.68","4.61M","1.17%"
"Feb 12, 2016","150.62","143.32","151.01","143.32","5.41M","5.30%"
"Feb 11, 2016","143.04","144.25","144.53","140.75","4.91M","-1.49%"
"Feb 10, 2016","145.21","145.24","148.48","144.80","4.11M","0.03%"
"Feb 09, 2016","145.17","146.34","146.71","143.05","6.21M","-1.52%"
"Feb 08, 2016","147.41","149.74","149.74","145.67","4.83M","-1.60%"
"Feb 05, 2016","149.81","151.59","155.34","149.06","6.35M","-1.91%"
"Feb 04, 2016","152.73","148.95","156.63","148.95","8.34M","2.61%"
